iucn_sid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
8551,Feresa attenuata,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Feresa,Pygmy Killer Whale,"Gray, 1875",2018,2017-03-13,LC,NA,Unknown,TRUE,FALSE,FALSE,"Braulik, G.","Reeves, R. & Taylor, B.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9249,Globicephala macrorhynchus,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Globicephala,Short-finned Pilot Whale,"Gray, 1846",2018,2018-06-18,LC,NA,Unknown,TRUE,FALSE,FALSE,"Minton, G., Braulik, G. & Reeves, R.","Taylor, B.L. & Olson, P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9461,Grampus griseus,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Grampus,Risso's Dolphin,"(G. Cuvier, 1812)",2018,2018-02-21,LC,NA,Unknown,TRUE,FALSE,FALSE,"Kiszka, J. & Braulik, G.","Reeves, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11047,Kogia breviceps,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHYSETERIDAE,Kogia,Pygmy Sperm Whale,"(Blainville, 1838)",2012,2008-07-01,DD,NA,Unknown,TRUE,FALSE,FALSE,"Taylor, B.L., Baird, R., Barlow, J., Dawson, S.M., Ford, J.K.B., Mead, J.G., Notarbartolo di Sciara, G., Wade, P. & Pitman, R.L.","Hammond, P.S. & Perrin, W.F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11048,Kogia sima,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHYSETERIDAE,Kogia,Dwarf Sperm Whale,"(Owen, 1866)",2012,2008-07-01,DD,NA,Unknown,TRUE,FALSE,FALSE,"Taylor, B.L., Baird, R., Barlow, J., Dawson, S.M., Ford, J.K.B., Mead, J.G., Notarbartolo di Sciara, G., Wade, P. & Pitman, R.L.","Hammond, P.S. & Perrin, W.F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11060,Kuhlia marginata,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,KUHLIIDAE,Kuhlia,Silver Flagtail,"(Cuvier, 1829)",2012,2011-11-25,LC,NA,Stable,TRUE,TRUE,FALSE,"Hoese, D. & Mailautoka, K.","Larson, H. & Pippard, H.",NA,NA,1,0,0,50,NA,NA,NA,NA
11140,Lagenodelphis hosei,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Lagenodelphis,Fraser's Dolphin,"Fraser, 1956",2018,2018-02-22,LC,NA,Unknown,TRUE,FALSE,FALSE,"Kiszka, J. & Braulik, G.","Reeves, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11150,Lagocephalus gloveri,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Lagocephalus,Brown-backed Toadfish,"Abe &amp; Tabeta, 1983",2014,2011-06-08,DD,NA,Decreasing,TRUE,FALSE,FALSE,"Shao, K., Liu, M., Jing, L., Hardy, G., Leis, J.L. & Matsuura, K.","Lyczkowski-Shultz, J. & Zapfe, G.",NA,NA,NA,NA,1,100,NA,NA,NA,NA
11534,Lepidochelys olivacea,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELONIIDAE,Lepidochelys,Olive Ridley,"(Eschscholtz, 1829)",2008,2008-06-30,VU,A2bd,Decreasing,TRUE,FALSE,TRUE,"Abreu-Grobois, A & Plotkin, P. (IUCN SSC Marine Turtle Specialist Group)","Chaloupka, M., Bolten, A., Broderick, A.C., Dobbs, K., Dutton, P., Limpus, C., Miller, D.J., Musick, J., Pritchard, P.C.H., Shanker, K. & van Dijk, P.P. (IUCN SSC Marine Turtle Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13006,Megaptera novaeangliae,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Megaptera,Humpback Whale,"(Borowski, 1781)",2018,2018-03-24,LC,NA,Increasing,TRUE,FALSE,FALSE,"Cooke, J.G.","Clapham, P.J., Taylor, B.L., Reeves, R. & Brownell Jr., R.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13244,Mesoplodon densirostris,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,Blainville's Beaked Whale,"(Blainville, 1817)",2008,2008-06-30,DD,NA,Unknown,TRUE,FALSE,FALSE,"Taylor, B.L., Baird, R., Barlow, J., Dawson, S.M., Ford, J., Mead, J.G., Notarbartolo di Sciara, G., Wade, P. & Pitman, R.L.","Hammond, P.S. & Perrin, W.F. (Cetacean Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13246,Mesoplodon ginkgodens,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,Ginkgo-toothed Beaked Whale,"Nishiwaki &amp; Kamiya, 1958",2008,2008-06-30,DD,NA,Unknown,TRUE,FALSE,FALSE,"Taylor, B.L., Baird, R., Barlow, J., Dawson, S.M., Ford, J., Mead, J.G., Notarbartolo di Sciara, G., Wade, P. & Pitman, R.L.","Hammond, P.S. & Perrin, W.F. (Cetacean Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15421,Orcinus orca,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Orcinus,Killer Whale,"(Linnaeus, 1758)",2017,2017-06-20,DD,NA,Unknown,TRUE,FALSE,FALSE,"Reeves, R., Pitman, R.L. & Ford, J.K.B.","Brownell, R.",NA,NA,0,0,1000,NA,NA,NA,NA,NA
16011,Favonigobius melanobranchus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Favonigobius,Blackthroat Goby,"(Fowler, 1934)",1996,1996-08-01,LR/nt,NA,NA,TRUE,TRUE,FALSE,"Skelton, P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16012,Favonigobius reichei,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Favonigobius,Indo-pacific Tropical Sand Goby,"(Bleeker, 1854)",2017,2016-07-02,LC,NA,Unknown,TRUE,TRUE,FALSE,"Sparks, J.S.","Sayer, C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16564,Peponocephala electra,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Peponocephala,Melon-headed Whale,"(Gray, 1846)",2019,2019-02-14,LC,NA,Unknown,TRUE,FALSE,FALSE,"Kiszka, J. & Brownell Jr., R.L.","Reeves, R. & Braulik, G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
