iucn_sid,eez_km2,nms_km2,terr_km2
133203,4100,0,3900
133207,4100,0,3900
133208,4100,0,3900
133209,4100,0,3900
133210,300,0,300
133213,3800,0,3600
133214,62700,29700,12400
133215,4100,0,3900
133216,4100,0,3900
133220,4100,0,3900
133222,4100,0,3900
133223,300,0,300
133225,3800,0,3600
133227,300,0,300
133230,4100,0,3900
133231,4100,0,3900
133236,4100,0,3900
133238,4100,0,3900
133239,4100,0,3900
133240,4100,0,3900
133242,4100,0,3900
133243,300,0,300
133244,4100,0,3900
133245,300,0,300
133246,4100,0,3900
133248,4100,0,3900
133250,4100,0,3900
133253,300,0,300
133256,4100,0,3900
133258,4100,0,3900
133259,3800,0,3600
133262,4100,0,3900
133266,4100,0,3900
133267,4100,0,3900
133269,4100,0,3900
133270,3800,0,3600
133271,300,0,300
133272,4100,0,3900
133273,73700,62000,11700
133277,4100,0,3900
133278,4100,0,3900
133279,73700,62000,11700
133284,4100,0,3900
133289,4100,0,3900
133290,4100,0,3900
133291,3800,0,3600
133292,4100,0,3900
133293,4100,0,3900
133298,4100,0,3900
133299,300,0,300
133302,4100,0,3900
133303,4100,0,3900
133304,4100,0,3900
133305,3800,0,3600
133306,300,0,300
133307,300,0,300
133308,4100,0,3900
133313,4100,0,3900
133314,4100,0,3900
133315,4100,0,3900
133317,4100,0,3900
133319,4100,0,3900
133320,300,0,300
133321,300,0,300
133322,4100,0,3900
133324,4100,0,3900
133325,4100,0,3900
133326,4100,0,3900
133327,4100,0,3900
133329,4100,0,3900
133330,4100,0,3900
133332,3800,0,3600
133333,300,0,300
133337,4100,0,3900
133338,300,0,300
133339,300,0,300
133341,4100,0,3900
133343,4100,0,3900
133345,4100,0,3900
133351,4100,0,3900
133353,4100,0,3900
133354,300,0,300
133357,3800,0,3600
133358,4100,0,3900
133359,300,0,300
133360,4100,0,3900
133364,4100,0,3900
133365,4100,0,3900
133371,300,0,300
133372,300,0,300
133374,300,0,300
133375,4100,0,3900
133376,4100,0,3900
133378,4100,0,3900
133382,4100,0,3900
133383,4100,0,3900
133386,4100,0,3900
133387,4100,0,3900
133388,3800,0,3600
133390,4100,0,3900
133392,3800,0,3600
133393,136400,91700,24100
133397,300,0,300
133398,4100,0,3900
133403,4100,0,3900
133404,300,0,300
133405,3800,0,3600
133406,4100,0,3900
133407,4100,0,3900
133408,300,0,300
133410,4100,0,3900
133411,300,0,300
133413,300,0,300
133414,4100,0,3900
133415,4100,0,3900
133417,300,0,300
133418,4100,0,3900
133419,4100,0,3900
133420,4100,0,3900
133422,300,0,300
133423,4100,0,3900
133424,300,0,300
133426,4100,0,3900
133427,4100,0,3900
133428,4100,0,3900
133429,4100,0,3900
133431,4100,0,3900
133432,4100,0,3900
133433,4100,0,3900
133438,4100,0,3900
133440,4100,0,3900
133441,300,0,300
133442,4100,0,3900
133448,4100,0,3900
133451,4100,0,3900
133452,4100,0,3900
133453,4100,0,3900
133456,4100,0,3900
133458,4100,0,3900
133459,4100,0,3900
133463,4100,0,3900
133468,4100,0,3900
133470,4100,0,3900
133471,3800,0,3600
133473,4100,0,3900
133474,4100,0,3900
133478,4100,0,3900
133479,4100,0,3900
133481,4100,0,3900
133482,4100,0,3900
133485,4100,0,3900
133486,4100,0,3900
133491,4100,0,3900
133492,4100,0,3900
133493,4100,0,3900
133495,4100,0,3900
133496,4100,0,3900
133497,3800,0,3600
133498,4100,0,3900
133502,4100,0,3900
133503,4100,0,3900
133509,4100,0,3900
133510,4100,0,3900
133513,300,0,300
133516,4100,0,3900
133523,4100,0,3900
133525,4100,0,3900
133526,4100,0,3900
133528,100,0,100
133530,4100,0,3900
133531,4100,0,3900
133532,4100,0,3900
133534,300,0,300
133536,4100,0,3900
133538,4100,0,3900
133539,4100,0,3900
133545,4100,0,3900
133546,300,0,300
133547,4100,0,3900
