cell_id,presence
2049398,1
2049399,1
2049400,1
2049401,1
2049402,1
2049403,1
2052234,1
2052235,1
2052236,1
2052237,1
2052238,1
2052239,1
2052240,1
2052241,1
2052242,1
2055071,1
2055072,1
2055073,1
2055074,1
2055075,1
2055076,1
2055077,1
2055078,1
2055079,1
2055080,1
2055081,1
2057909,1
2057910,1
2057911,1
2057912,1
2057913,1
2057914,1
2057915,1
2057916,1
2057917,1
2057918,1
2057919,1
2060747,1
2060748,1
2060749,1
2060750,1
2060751,1
2060752,1
2060753,1
2060754,1
2060755,1
2060756,1
2060757,1
2060758,1
2063585,1
2063586,1
2063587,1
2063588,1
2063589,1
2063590,1
2063591,1
2063592,1
2063593,1
2063594,1
2063595,1
2063596,1
2063597,1
2066423,1
2066424,1
2066425,1
2066426,1
2066427,1
2066428,1
2066429,1
2066430,1
2066431,1
2066432,1
2066433,1
2066434,1
2066435,1
2066436,1
2069261,1
2069262,1
2069263,1
2069264,1
2069265,1
2069266,1
2069267,1
2069268,1
2069269,1
2069270,1
2069271,1
2069272,1
2069273,1
2069274,1
2069275,1
2072099,1
2072100,1
2072101,1
2072102,1
2072103,1
2072104,1
2072105,1
2072106,1
2072107,1
2072108,1
2072109,1
2072110,1
2072111,1
2072112,1
2072113,1
2074937,1
2074938,1
2074939,1
2074940,1
2074941,1
2074942,1
2074943,1
2074944,1
2074945,1
2074946,1
2074947,1
2074948,1
2074949,1
2074950,1
2074951,1
2074952,1
2077775,1
2077776,1
2077777,1
2077778,1
2077779,1
2077780,1
2077781,1
2077782,1
2077783,1
2077784,1
2077785,1
2077786,1
2077787,1
2077788,1
2077789,1
2077790,1
2077791,1
2080614,1
2080615,1
2080616,1
2080617,1
2080618,1
2080619,1
2080620,1
2080621,1
2080622,1
2080623,1
2080624,1
2080625,1
2080626,1
2080627,1
2080628,1
2080629,1
2080630,1
2083452,1
2083453,1
2083454,1
2083455,1
2083456,1
2083457,1
2083458,1
2083459,1
2083460,1
2083461,1
2083462,1
2083463,1
2083464,1
2083465,1
2083466,1
2083467,1
2083468,1
2086291,1
2086292,1
2086293,1
2086294,1
2086295,1
2086296,1
2086297,1
2086298,1
2086299,1
2086300,1
2086301,1
2086302,1
2086303,1
2086304,1
2086305,1
2086306,1
2086307,1
2089129,1
2089130,1
2089131,1
2089132,1
2089133,1
2089134,1
2089135,1
2089136,1
2089137,1
2089138,1
2089139,1
2089140,1
2089141,1
2089142,1
2089143,1
2089144,1
2089145,1
2089146,1
2091967,1
2091968,1
2091969,1
2091970,1
2091971,1
2091972,1
2091973,1
2091974,1
2091975,1
2091976,1
2091977,1
2091978,1
2091979,1
2091980,1
2091981,1
2091982,1
2091983,1
2091984,1
2091985,1
2094806,1
2094807,1
2094808,1
2094809,1
2094810,1
2094811,1
2094812,1
2094813,1
2094814,1
2094815,1
2094816,1
2094817,1
2094818,1
2094819,1
2094820,1
2094821,1
2094822,1
2094823,1
2094824,1
2097645,1
2097646,1
2097647,1
2097648,1
2097649,1
2097650,1
2097651,1
2097652,1
2097653,1
2097654,1
2097655,1
2097656,1
2097657,1
2097658,1
2097659,1
2097660,1
2097661,1
2097662,1
2100483,1
2100484,1
2100485,1
2100486,1
2100487,1
2100488,1
2100489,1
2100490,1
2100491,1
2100492,1
2100493,1
2100494,1
2100495,1
2100496,1
2100497,1
2100498,1
2100499,1
2100500,1
2100501,1
2103322,1
2103323,1
2103324,1
2103325,1
2103326,1
2103327,1
2103328,1
2103329,1
2103330,1
2103331,1
2103332,1
2103333,1
2103334,1
2103335,1
2103336,1
2103337,1
2103338,1
2103339,1
2103340,1
2106160,1
2106161,1
2106162,1
2106163,1
2106164,1
2106165,1
2106166,1
2106167,1
2106168,1
2106169,1
2106170,1
2106171,1
2106172,1
2106173,1
2106174,1
2106175,1
2106176,1
2106177,1
2106178,1
2106179,1
2108999,1
2109000,1
2109001,1
2109002,1
2109003,1
2109004,1
2109005,1
2109006,1
2109007,1
2109008,1
2109009,1
2109010,1
2109011,1
2109012,1
2109013,1
2109014,1
2109015,1
2109016,1
2109017,1
2111838,1
2111839,1
2111840,1
2111841,1
2111842,1
2111843,1
2111844,1
2111845,1
2111846,1
2111847,1
2111848,1
2111849,1
2111850,1
2111851,1
2111852,1
2111853,1
2111854,1
2111855,1
2111856,1
2114676,1
2114677,1
2114678,1
2114679,1
2114680,1
2114681,1
2114682,1
2114683,1
2114684,1
2114685,1
2114686,1
2114687,1
2114688,1
2114689,1
2114690,1
2114691,1
2114692,1
2114693,1
2114694,1
2114695,1
2117515,1
2117516,1
2117517,1
2117518,1
2117519,1
2117520,1
2117521,1
2117522,1
2117523,1
2117524,1
2117525,1
2117526,1
2117527,1
2117528,1
2117529,1
2117530,1
2117531,1
2117532,1
2117533,1
2117534,1
2120354,1
2120355,1
2120356,1
2120357,1
2120358,1
2120359,1
2120360,1
2120361,1
2120362,1
2120363,1
2120364,1
2120365,1
2120366,1
2120367,1
2120368,1
2120369,1
2120370,1
2120371,1
2120372,1
2120373,1
2123192,1
2123193,1
2123194,1
2123195,1
2123196,1
2123197,1
2123198,1
2123199,1
2123200,1
2123201,1
2123202,1
2123203,1
2123204,1
2123205,1
2123206,1
2123207,1
2123208,1
2123209,1
2123210,1
2123211,1
2126031,1
2126032,1
2126033,1
2126034,1
2126035,1
2126036,1
2126037,1
2126038,1
2126039,1
2126040,1
2126041,1
2126042,1
2126043,1
2126044,1
2126045,1
2126046,1
2126047,1
2126048,1
2126049,1
2126050,1
2128870,1
2128871,1
2128872,1
2128873,1
2128874,1
2128875,1
2128876,1
2128877,1
2128878,1
2128879,1
2128880,1
2128881,1
2128882,1
2128883,1
2128884,1
2128885,1
2128886,1
2128887,1
2128888,1
2128889,1
2131708,1
2131709,1
2131710,1
2131711,1
2131712,1
2131713,1
2131714,1
2131715,1
2131716,1
2131717,1
2131718,1
2131719,1
2131720,1
2131721,1
2131722,1
2131723,1
2131724,1
2131725,1
2131726,1
2131727,1
2131728,1
2134547,1
2134548,1
2134549,1
2134550,1
2134551,1
2134552,1
2134553,1
2134554,1
2134555,1
2134556,1
2134557,1
2134558,1
2134559,1
2134560,1
2134561,1
2134562,1
2134563,1
2134564,1
2134565,1
2134566,1
2137386,1
2137387,1
2137388,1
2137389,1
2137390,1
2137391,1
2137392,1
2137393,1
2137394,1
2137395,1
2137396,1
2137397,1
2137398,1
2137399,1
2137400,1
2137401,1
2137402,1
2137403,1
2137404,1
2137405,1
2140225,1
2140226,1
2140227,1
2140228,1
2140229,1
2140230,1
2140231,1
2140232,1
2140233,1
2140234,1
2140235,1
2140236,1
2140237,1
2140238,1
2140239,1
2140240,1
2140241,1
2140242,1
2140243,1
2140244,1
2143064,1
2143065,1
2143066,1
2143067,1
2143068,1
2143069,1
2143070,1
2143071,1
2143072,1
2143073,1
2143074,1
2143075,1
2143076,1
2143077,1
2143078,1
2143079,1
2143080,1
2143081,1
2143082,1
2143083,1
2145902,1
2145903,1
2145904,1
2145905,1
2145906,1
2145907,1
2145908,1
2145909,1
2145910,1
2145911,1
2145912,1
2145913,1
2145914,1
2145915,1
2145916,1
2145917,1
2145918,1
2145919,1
2145920,1
2145921,1
2145922,1
2148741,1
2148742,1
2148743,1
2148744,1
2148745,1
2148746,1
2148747,1
2148748,1
2148749,1
2148750,1
2148751,1
2148752,1
2148753,1
2148754,1
2148755,1
2148756,1
2148757,1
2148758,1
2148759,1
2148760,1
2151580,1
2151581,1
2151582,1
2151583,1
2151584,1
2151585,1
2151586,1
2151587,1
2151588,1
2151589,1
2151590,1
2151591,1
2151592,1
2151593,1
2151594,1
2151595,1
2151596,1
2151597,1
2151598,1
2151599,1
2154418,1
2154419,1
2154420,1
2154421,1
2154422,1
2154423,1
2154424,1
2154425,1
2154426,1
2154427,1
2154428,1
2154429,1
2154430,1
2154431,1
2154432,1
2154433,1
2154434,1
2154435,1
2154436,1
2154437,1
2154438,1
2157257,1
2157258,1
2157259,1
2157260,1
2157261,1
2157262,1
2157263,1
2157264,1
2157265,1
2157266,1
2157267,1
2157268,1
2157269,1
2157270,1
2157271,1
2157272,1
2157273,1
2157274,1
2157275,1
2157276,1
2157277,1
2160096,1
2160097,1
2160098,1
2160099,1
2160100,1
2160101,1
2160102,1
2160103,1
2160104,1
2160105,1
2160106,1
2160107,1
2160108,1
2160109,1
2160110,1
2160111,1
2160112,1
2160113,1
2160114,1
2160115,1
2160116,1
2162934,1
2162935,1
2162936,1
2162937,1
2162938,1
2162939,1
2162940,1
2162941,1
2162942,1
2162943,1
2162944,1
2162945,1
2162946,1
2162947,1
2162948,1
2162949,1
2162950,1
2162951,1
2162952,1
2162953,1
2162954,1
2165773,1
2165774,1
2165775,1
2165776,1
2165777,1
2165778,1
2165779,1
2165780,1
2165781,1
2165782,1
2165783,1
2165784,1
2165785,1
2165786,1
2165787,1
2165788,1
2165789,1
2165790,1
2165791,1
2165792,1
2165793,1
2168612,1
2168613,1
2168614,1
2168615,1
2168616,1
2168617,1
2168618,1
2168619,1
2168620,1
2168621,1
2168622,1
2168623,1
2168624,1
2168625,1
2168626,1
2168627,1
2168628,1
2168629,1
2168630,1
2168631,1
2168632,1
2171451,1
2171452,1
2171453,1
2171454,1
2171455,1
2171456,1
2171457,1
2171458,1
2171459,1
2171460,1
2171461,1
2171462,1
2171463,1
2171464,1
2171465,1
2171466,1
2171467,1
2171468,1
2171469,1
2171470,1
2171471,1
2174290,1
2174291,1
2174292,1
2174293,1
2174294,1
2174295,1
2174296,1
2174297,1
2174298,1
2174299,1
2174300,1
2174301,1
2174302,1
2174303,1
2174304,1
2174305,1
2174306,1
2174307,1
2174308,1
2174309,1
2174310,1
2177127,1
2177128,1
2177129,1
2177130,1
2177131,1
2177132,1
2177133,1
2177134,1
2177135,1
2177136,1
2177137,1
2177138,1
2177139,1
2177140,1
2177141,1
2177142,1
2177143,1
2177144,1
2177145,1
2177146,1
2177147,1
2177148,1
2179966,1
2179967,1
2179968,1
2179969,1
2179970,1
2179971,1
2179972,1
2179973,1
2179974,1
2179975,1
2179976,1
2179977,1
2179978,1
2179979,1
2179980,1
2179981,1
2179982,1
2179983,1
2179984,1
2179985,1
2179986,1
2179987,1
2182805,1
2182806,1
2182807,1
2182808,1
2182809,1
2182810,1
2182811,1
2182812,1
2182813,1
2182814,1
2182815,1
2182816,1
2182817,1
2182818,1
2182819,1
2182820,1
2182821,1
2182822,1
2182823,1
2182824,1
2182825,1
2182826,1
2185644,1
2185645,1
2185646,1
2185647,1
2185648,1
2185649,1
2185650,1
2185651,1
2185652,1
2185653,1
2185654,1
2185655,1
2185656,1
2185657,1
2185658,1
2185659,1
2185660,1
2185661,1
2185662,1
2185663,1
2185664,1
2185665,1
2188483,1
2188484,1
2188485,1
2188486,1
2188487,1
2188488,1
2188489,1
2188490,1
2188491,1
2188492,1
2188493,1
2188494,1
2188495,1
2188496,1
2188497,1
2188498,1
2188499,1
2188500,1
2188501,1
2188502,1
2188503,1
2188504,1
2191322,1
2191323,1
2191324,1
2191325,1
2191326,1
2191327,1
2191328,1
2191329,1
2191330,1
2191331,1
2191332,1
2191333,1
2191334,1
2191335,1
2191336,1
2191337,1
2191338,1
