cell_id,presence
2097672,1
2100510,1
2100511,1
2103349,1
2103350,1
2106187,1
2106188,1
2106189,1
2109025,1
2109026,1
2109027,1
2109028,1
2111864,1
2111865,1
2111866,1
2111867,1
2114702,1
2114703,1
2114704,1
2114705,1
2114706,1
2117540,1
2117541,1
2117542,1
2117543,1
2117544,1
2117545,1
2120379,1
2120380,1
2120381,1
2120382,1
2120383,1
2120384,1
2123217,1
2123218,1
2123219,1
2123220,1
2123221,1
2123222,1
2123223,1
2126056,1
2126057,1
2126058,1
2126059,1
2126060,1
2126061,1
2126062,1
2128894,1
2128895,1
2128896,1
2128897,1
2128898,1
2128899,1
2128900,1
2128901,1
2131733,1
2131734,1
2131735,1
2131736,1
2131737,1
2131738,1
2131739,1
2131740,1
2131741,1
2134571,1
2134572,1
2134573,1
2134574,1
2134575,1
2134576,1
2134577,1
2134578,1
2134579,1
2134580,1
2137410,1
2137411,1
2137412,1
2137413,1
2137414,1
2137415,1
2137416,1
2137417,1
2137418,1
2137419,1
2140249,1
2140250,1
2140251,1
2140252,1
2140253,1
2140254,1
2140255,1
2140256,1
2140257,1
2140258,1
2143087,1
2143088,1
2143089,1
2143090,1
2143091,1
2143092,1
2143093,1
2143094,1
2143095,1
2143096,1
2143097,1
2145926,1
2145927,1
2145928,1
2145929,1
2145930,1
2145931,1
2145932,1
2145933,1
2145934,1
2145935,1
2145936,1
2148764,1
2148765,1
2148766,1
2148767,1
2148768,1
2148769,1
2148770,1
2148771,1
2148772,1
2148773,1
2148774,1
2148775,1
2151603,1
2151604,1
2151605,1
2151606,1
2151607,1
2151608,1
2151609,1
2151610,1
2151611,1
2151612,1
2151613,1
2151614,1
2154442,1
2154443,1
2154444,1
2154445,1
2154446,1
2154447,1
2154448,1
2154449,1
2154450,1
2154451,1
2154452,1
2154453,1
2157280,1
2157281,1
2157282,1
2157283,1
2157284,1
2157285,1
2157286,1
2157287,1
2157288,1
2157289,1
2157290,1
2157291,1
2157292,1
2160119,1
2160120,1
2160121,1
2160122,1
2160123,1
2160124,1
2160125,1
2160126,1
2160127,1
2160128,1
2160129,1
2160130,1
2160131,1
2162958,1
2162959,1
2162960,1
2162961,1
2162962,1
2162963,1
2162964,1
2162965,1
2162966,1
2162967,1
2162968,1
2162969,1
2162970,1
2165796,1
2165797,1
2165798,1
2165799,1
2165800,1
2165801,1
2165802,1
2165803,1
2165804,1
2165805,1
2165806,1
2165807,1
2165808,1
2165809,1
2168635,1
2168636,1
2168637,1
2168638,1
2168639,1
2168640,1
2168641,1
2168642,1
2168643,1
2168644,1
2168645,1
2168646,1
2168647,1
2168648,1
2171474,1
2171475,1
2171476,1
2171477,1
2171478,1
2171479,1
2171480,1
2171481,1
2171482,1
2171483,1
2171484,1
2171485,1
2171486,1
2171487,1
2174312,1
2174313,1
2174314,1
2174315,1
2174316,1
2174317,1
2174318,1
2174319,1
2174320,1
2174321,1
2174322,1
2174323,1
2174324,1
2174325,1
2174326,1
2177151,1
2177152,1
2177153,1
2177154,1
2177155,1
2177156,1
2177157,1
2177158,1
2177159,1
2177160,1
2177161,1
2177162,1
2177163,1
2177164,1
2177165,1
2177166,1
2179990,1
2179991,1
2179992,1
2179993,1
2179994,1
2179995,1
2179996,1
2179997,1
2179998,1
2179999,1
2180000,1
2180001,1
2180002,1
2180003,1
2180004,1
2180005,1
2182828,1
2182829,1
2182830,1
2182831,1
2182832,1
2182833,1
2182834,1
2182835,1
2182836,1
2182837,1
2182838,1
2182839,1
2182840,1
2182841,1
2182842,1
2182843,1
2182844,1
2185667,1
2185668,1
2185669,1
2185670,1
2185671,1
2185672,1
2185673,1
2185674,1
2185675,1
2185676,1
2185677,1
2185678,1
2185679,1
2185680,1
2185681,1
2185682,1
2185683,1
2188506,1
2188507,1
2188508,1
2188509,1
2188510,1
2188511,1
2188512,1
2188513,1
2188514,1
2188515,1
2188516,1
2188517,1
2188518,1
2188519,1
2188520,1
2188521,1
2188522,1
2191344,1
2191345,1
2191346,1
2191347,1
2191348,1
2191349,1
2191350,1
2191351,1
2191352,1
2191353,1
2191354,1
2191355,1
2191356,1
2191357,1
2191358,1
2191359,1
2191360,1
2191361,1
2194183,1
2194184,1
2194185,1
2194186,1
2194187,1
2194188,1
2194189,1
2194190,1
2194191,1
2194192,1
2194193,1
2194194,1
2194195,1
2194196,1
2194197,1
2194198,1
2194199,1
2194200,1
2197022,1
2197023,1
2197024,1
2197025,1
2197026,1
2197027,1
2197028,1
2197029,1
2197030,1
2197031,1
2197032,1
2197033,1
2197034,1
2197035,1
2197036,1
2197037,1
2197038,1
2197039,1
2199861,1
2199862,1
2199863,1
2199864,1
2199865,1
2199866,1
2199867,1
2199868,1
2199869,1
2199870,1
2199871,1
2199872,1
2199873,1
2199874,1
2199875,1
2199876,1
2199877,1
2199878,1
2202699,1
2202700,1
2202701,1
2202702,1
2202703,1
2202704,1
2202705,1
2202706,1
2202707,1
2202708,1
2202709,1
2202710,1
2202711,1
2202712,1
2202713,1
2202714,1
2202715,1
2202716,1
2202717,1
2205538,1
2205539,1
2205540,1
2205541,1
2205542,1
2205543,1
2205544,1
2205545,1
2205546,1
2205547,1
2205548,1
2205549,1
2205550,1
2205551,1
2205552,1
2205553,1
2205554,1
2205555,1
2205556,1
2208377,1
2208378,1
2208379,1
2208380,1
2208381,1
2208382,1
2208383,1
2208384,1
2208385,1
2208386,1
2208387,1
2208388,1
2208389,1
2208390,1
2208391,1
2208392,1
2208393,1
2208394,1
2208395,1
2211215,1
2211216,1
2211217,1
2211218,1
2211219,1
2211220,1
2211221,1
2211222,1
2211223,1
2211224,1
2211225,1
2211226,1
2211227,1
2211228,1
2211229,1
2211230,1
2211231,1
2211232,1
2211233,1
2211234,1
2214054,1
2214055,1
2214056,1
2214057,1
2214058,1
2214059,1
2214060,1
2214061,1
2214062,1
2214063,1
2214064,1
2214065,1
2214066,1
2214067,1
2214068,1
2214069,1
2214070,1
2214071,1
2214072,1
2214073,1
2214074,1
2216893,1
2216894,1
2216895,1
2216896,1
2216897,1
2216898,1
2216899,1
2216900,1
2216902,1
2216903,1
2216904,1
2216905,1
2216906,1
2216907,1
2216908,1
2216909,1
2216910,1
2216911,1
2216912,1
2216913,1
2219732,1
2219733,1
2219734,1
2219735,1
2219736,1
2219737,1
2219738,1
2219739,1
2219741,1
2219742,1
2219743,1
2219744,1
2219745,1
2219746,1
2219747,1
2219748,1
2219749,1
2219750,1
2219751,1
2219752,1
2222570,1
2222571,1
2222572,1
2222573,1
2222574,1
2222575,1
2222576,1
2222577,1
2222578,1
2222580,1
2222581,1
2222582,1
2222583,1
2222584,1
2222585,1
2222586,1
2222587,1
2222588,1
2222589,1
2222590,1
2222591,1
2225409,1
2225410,1
2225411,1
2225412,1
2225413,1
2225414,1
2225415,1
2225416,1
2225417,1
2225419,1
2225420,1
2225421,1
2225422,1
2225423,1
2225424,1
2225425,1
2225426,1
2225427,1
2225428,1
2225429,1
2225430,1
2228248,1
2228249,1
2228250,1
2228251,1
2228252,1
2228253,1
2228254,1
2228255,1
2228256,1
2228257,1
2228258,1
2228259,1
2228260,1
2228261,1
2228262,1
2228263,1
2228264,1
2228265,1
2228266,1
2228267,1
2228268,1
2228269,1
2231086,1
2231087,1
2231088,1
2231089,1
2231090,1
2231091,1
2231092,1
2231093,1
2231094,1
2231095,1
2231096,1
2231097,1
2231098,1
2231099,1
2231100,1
2231101,1
2231102,1
2231103,1
2231104,1
2231105,1
2231106,1
2231107,1
2231108,1
2233925,1
2233926,1
2233927,1
2233928,1
2233929,1
2233930,1
2233931,1
2233932,1
2233933,1
2233934,1
2233935,1
2233936,1
2233937,1
2233938,1
2233939,1
2233940,1
2233941,1
2233942,1
2233943,1
2233944,1
2233945,1
2233946,1
2233947,1
2233948,1
2236764,1
2236765,1
2236766,1
2236767,1
2236768,1
2236769,1
2236770,1
2236771,1
2236772,1
2236773,1
2236774,1
2236775,1
2236776,1
2236777,1
2236778,1
2236779,1
2236780,1
2236781,1
2236782,1
2236783,1
2236784,1
2236785,1
2236786,1
2236787,1
2239603,1
2239604,1
2239605,1
2239606,1
2239607,1
2239608,1
2239609,1
2239610,1
2239611,1
2239612,1
2239613,1
2239614,1
2239615,1
2239616,1
2239617,1
2239618,1
2239619,1
2239620,1
2239621,1
2239622,1
2239623,1
2239624,1
2239625,1
2239626,1
2242441,1
2242442,1
2242443,1
2242444,1
2242445,1
2242446,1
2242447,1
2242448,1
2242449,1
2242450,1
2242451,1
2242452,1
2242453,1
2242454,1
2242455,1
2242456,1
2242457,1
2242458,1
2242459,1
2242460,1
2242461,1
2242462,1
2242463,1
2242464,1
2242465,1
2245280,1
2245281,1
2245282,1
2245283,1
2245284,1
2245285,1
2245286,1
2245287,1
2245288,1
2245289,1
2245290,1
2245291,1
2245292,1
2245293,1
2245294,1
2245295,1
2245296,1
2245297,1
2245298,1
2245299,1
2245300,1
2245301,1
2245302,1
2245303,1
2245304,1
2248119,1
2248120,1
2248121,1
