cell_id,presence
2049399,1
2049400,1
2052238,1
2052239,1
2055077,1
2055078,1
2057916,1
2057917,1
2060755,1
2060756,1
2060757,1
2063594,1
2063595,1
2063596,1
2066433,1
2066434,1
2066435,1
2069271,1
2069272,1
2069273,1
2069274,1
2072110,1
2072111,1
2072112,1
2072113,1
2074949,1
2074950,1
2074951,1
2074952,1
2077788,1
2077789,1
2077790,1
2077791,1
2080627,1
2080628,1
2080629,1
2080630,1
2083466,1
2083467,1
2083468,1
2083469,1
2086305,1
2086306,1
2086307,1
2086308,1
2089144,1
2089145,1
2089146,1
2089147,1
2091982,1
2091983,1
2091984,1
2091985,1
2091986,1
2094821,1
2094822,1
2094823,1
2094824,1
2094825,1
2097660,1
2097661,1
2097662,1
2097663,1
2097664,1
2100499,1
2100500,1
2100501,1
2100502,1
2100503,1
2100504,1
2103338,1
2103339,1
2103340,1
2103341,1
2103342,1
2103343,1
2106177,1
2106178,1
2106179,1
2106180,1
2106181,1
2106182,1
2109016,1
2109017,1
2109018,1
2109019,1
2109020,1
2109021,1
2111855,1
2111856,1
2111857,1
2111858,1
2111859,1
2111860,1
2114694,1
2114695,1
2114696,1
2114697,1
2114698,1
2114699,1
2117533,1
2117534,1
2117535,1
2117536,1
2117537,1
2117538,1
2117539,1
2117540,1
2117541,1
2117542,1
2120371,1
2120372,1
2120373,1
2120374,1
2120375,1
2120376,1
2120377,1
2120378,1
2120379,1
2120380,1
2120381,1
2120382,1
2120383,1
2123210,1
2123211,1
2123212,1
2123213,1
2123214,1
2123215,1
2123216,1
2123217,1
2123218,1
2123219,1
2123220,1
2123221,1
2123222,1
2123223,1
2126049,1
2126050,1
2126051,1
2126052,1
2126053,1
2126054,1
2126055,1
2126056,1
2126057,1
2126058,1
2126059,1
2126060,1
2126061,1
2126062,1
2128888,1
2128889,1
2128890,1
2128891,1
2128892,1
2128893,1
2128894,1
2128895,1
2128896,1
2128897,1
2128898,1
2128899,1
2128900,1
2128901,1
2131727,1
2131728,1
2131729,1
2131730,1
2131731,1
2131732,1
2131733,1
2131734,1
2131735,1
2131736,1
2131737,1
2131738,1
2131739,1
2131740,1
2134566,1
2134567,1
2134568,1
2134569,1
2134570,1
2134571,1
2134572,1
2134573,1
2134574,1
2134575,1
2134576,1
2134577,1
2134578,1
2134579,1
2134580,1
2137405,1
2137406,1
