cell_id,presence
2321905,1
2324744,1
2324745,1
2327583,1
2327584,1
2330422,1
2330423,1
2330424,1
2333261,1
2333262,1
2333263,1
2336100,1
2336101,1
2336102,1
2336103,1
2338939,1
2338940,1
2338941,1
2338942,1
2341778,1
2341779,1
2341780,1
2341781,1
2341782,1
2344617,1
2344618,1
2344619,1
2344620,1
2344621,1
2344622,1
2347456,1
2347457,1
2347458,1
2347459,1
2347460,1
2347461,1
2350295,1
2350296,1
2350297,1
2350298,1
2350299,1
2350300,1
2350301,1
2353134,1
2353135,1
2353136,1
2353137,1
2353138,1
2353139,1
2353140,1
2355973,1
2355974,1
2355975,1
2355976,1
2355977,1
2355978,1
2355979,1
2355980,1
2358812,1
2358813,1
2358814,1
2358815,1
2358816,1
2358817,1
2358818,1
2358819,1
2358820,1
2361651,1
2361652,1
2361653,1
2361654,1
2361655,1
2361656,1
2361657,1
2361658,1
2361659,1
2364490,1
2364491,1
2364492,1
2364493,1
2364494,1
2364495,1
2364496,1
2364497,1
2364498,1
2364499,1
2367330,1
2367331,1
2367332,1
2367333,1
2367334,1
2367335,1
2367336,1
2367337,1
2367338,1
2370169,1
2370170,1
2370171,1
2370172,1
2370173,1
2370174,1
2370175,1
2370176,1
2370177,1
2370178,1
2373008,1
2373009,1
2373010,1
2373011,1
2373012,1
2373013,1
2373014,1
2373015,1
2373016,1
2373017,1
2373018,1
2375847,1
2375848,1
2375849,1
2375850,1
2375851,1
2375852,1
2375853,1
2375854,1
2375855,1
2375856,1
2375857,1
2378686,1
2378687,1
2378688,1
2378689,1
2378690,1
2378691,1
2378692,1
2378693,1
2378694,1
2378695,1
2378696,1
2378697,1
2381525,1
2381526,1
2381527,1
2381528,1
2381529,1
2381530,1
2381531,1
2381532,1
2381533,1
2381534,1
2381535,1
2381536,1
2381537,1
2384364,1
2384365,1
2384366,1
2384367,1
2384368,1
2384369,1
2384370,1
2384371,1
2384372,1
2384373,1
2384374,1
2384375,1
2384376,1
2387203,1
2387204,1
2387205,1
2387206,1
2387207,1
2387208,1
2387209,1
2387210,1
2387211,1
2387212,1
2387213,1
2387214,1
2387215,1
2387216,1
2390042,1
2390043,1
2390044,1
2390045,1
2390046,1
2390047,1
2390048,1
2390049,1
2390050,1
2390051,1
2390052,1
2390053,1
2390054,1
2390055,1
2390056,1
2392881,1
2392882,1
2392883,1
2392884,1
2392885,1
2392886,1
2392887,1
2392888,1
2392889,1
2392890,1
2392891,1
2392892,1
2392893,1
2392894,1
2392895,1
2395720,1
2395721,1
2395722,1
2395723,1
2395724,1
2395725,1
2395726,1
2395727,1
2395728,1
2395729,1
2395730,1
2395731,1
2395732,1
2395733,1
2395734,1
2395735,1
2398559,1
2398560,1
2398561,1
2398562,1
2398563,1
2398564,1
2398565,1
2398566,1
2398567,1
2398568,1
2398569,1
2398570,1
2398571,1
2398572,1
2398573,1
2398574,1
2401398,1
2401399,1
2401400,1
2401401,1
2401402,1
2401403,1
2401404,1
2401405,1
2401406,1
2401407,1
2401408,1
2401409,1
2401410,1
2401411,1
2401412,1
2401413,1
2401414,1
2404237,1
2404238,1
2404239,1
2404240,1
2404241,1
2404242,1
2404243,1
2404244,1
2404245,1
2404246,1
2404247,1
2404248,1
2404249,1
2404250,1
2404251,1
2404252,1
2404253,1
2404254,1
2407077,1
2407078,1
2407079,1
2407080,1
2407081,1
2407082,1
2407083,1
2407084,1
2407085,1
2407086,1
2407087,1
2407088,1
2407089,1
2407090,1
2407091,1
2407092,1
2407093,1
2409916,1
2409917,1
2409918,1
2409919,1
2409920,1
2409921,1
2409922,1
2409923,1
2409924,1
2409925,1
2409926,1
2409927,1
2409928,1
2409929,1
2409930,1
2409931,1
2409932,1
2409933,1
2412755,1
2412756,1
2412757,1
2412758,1
2412759,1
2412760,1
2412761,1
2412762,1
2412763,1
2412764,1
2412765,1
2412766,1
2412767,1
2412768,1
2412769,1
2412770,1
2412771,1
2412772,1
2412773,1
2415594,1
2415595,1
2415596,1
2415597,1
2415598,1
2415599,1
2415600,1
2415601,1
2415602,1
2415603,1
2415604,1
2415605,1
2415606,1
2415607,1
2415608,1
2415609,1
2415610,1
2415611,1
2415612,1
2415613,1
2418433,1
2418434,1
2418435,1
2418436,1
2418437,1
2418438,1
2418439,1
2418440,1
2418441,1
2418442,1
2418443,1
2418444,1
2418445,1
2418446,1
2418447,1
2418448,1
2418449,1
2418450,1
2418451,1
2418452,1
2421272,1
2421273,1
2421274,1
2421275,1
2421276,1
2421277,1
2421278,1
2421279,1
2421280,1
2421281,1
2421282,1
2421283,1
2421284,1
2421285,1
2421286,1
2421287,1
2421288,1
2421289,1
2421290,1
2421291,1
2421292,1
2424111,1
2424112,1
2424113,1
2424114,1
2424115,1
2424116,1
2424117,1
2424118,1
2424119,1
2424120,1
2424121,1
2424122,1
2424123,1
2424124,1
2424125,1
2424126,1
2424127,1
2424128,1
2424129,1
2424130,1
2424131,1
2424132,1
2426950,1
2426951,1
2426952,1
2426953,1
2426954,1
2426955,1
2426956,1
2426957,1
2426958,1
2426959,1
2426960,1
2426961,1
2426962,1
2426963,1
2426964,1
2426965,1
2426966,1
2426967,1
2426968,1
2426969,1
2426970,1
2426971,1
2429789,1
2429790,1
2429791,1
2429792,1
2429793,1
2429794,1
2429795,1
2429796,1
2429797,1
2429798,1
2429799,1
2429800,1
2429801,1
2429802,1
2429803,1
2429804,1
2429805,1
2429806,1
2429807,1
2429808,1
2429809,1
2429810,1
2429811,1
2432629,1
2432630,1
2432631,1
2432632,1
2432633,1
2432634,1
2432635,1
2432636,1
2432637,1
2432638,1
2432639,1
2432640,1
2432641,1
2432642,1
2432643,1
2432644,1
2432645,1
2432646,1
2432647,1
2432648,1
2432649,1
2432650,1
2432651,1
2435468,1
2435469,1
2435470,1
2435471,1
2435472,1
2435473,1
2435474,1
2435475,1
2435476,1
2435477,1
2435478,1
2435479,1
2435480,1
2435481,1
2435482,1
2435483,1
2435484,1
2435485,1
2435486,1
2435487,1
2435488,1
2435489,1
2435490,1
2438307,1
2438308,1
2438309,1
2438310,1
2438311,1
2438312,1
2438313,1
2438314,1
2438315,1
2438316,1
2438317,1
2438318,1
2438319,1
2438320,1
2438321,1
2438322,1
2438323,1
2438324,1
2438325,1
2438326,1
2438327,1
2438328,1
2438329,1
2438330,1
2441146,1
2441147,1
2441148,1
2441149,1
2441150,1
2441151,1
2441152,1
2441153,1
2441154,1
2441155,1
2441156,1
2441157,1
2441158,1
2441159,1
2441160,1
2441161,1
2441162,1
2441163,1
2441164,1
2441165,1
2441166,1
2441167,1
2441168,1
2441169,1
2441170,1
2443985,1
2443986,1
2443987,1
2443988,1
2443989,1
2443990,1
2443991,1
2443992,1
2443993,1
2443994,1
2443995,1
2443996,1
2443997,1
2443998,1
2443999,1
2444000,1
2444001,1
2444002,1
2444003,1
2444004,1
2444005,1
2444006,1
2444007,1
2444008,1
2444009,1
2444010,1
2446824,1
2446825,1
2446826,1
2446827,1
2446828,1
2446829,1
2446830,1
2446831,1
2446832,1
2446833,1
2446834,1
2446835,1
2446836,1
2446837,1
2446838,1
2446839,1
2446840,1
2446841,1
2446842,1
2446843,1
2446844,1
2446845,1
2446846,1
2446847,1
2446848,1
2446849,1
2449663,1
2449664,1
2449665,1
2449666,1
2449667,1
2449668,1
2449669,1
2449670,1
2449671,1
2449672,1
2449673,1
2449674,1
2449675,1
2449676,1
2449677,1
2449678,1
2449679,1
2449680,1
2449681,1
2449682,1
2449683,1
2449684,1
2449685,1
2449686,1
2449687,1
2449688,1
2449689,1
2452502,1
2452503,1
2452504,1
2452505,1
2452506,1
2452507,1
2452508,1
2452509,1
2452510,1
2452511,1
2452512,1
2452513,1
2452514,1
2452515,1
2452516,1
2452517,1
2452518,1
2452519,1
2452520,1
2452521,1
2452522,1
2452523,1
2452524,1
2452525,1
2452526,1
2452527,1
2455342,1
2455343,1
2455344,1
2455345,1
2455346,1
2455347,1
2455348,1
2455349,1
2455350,1
2455351,1
2455352,1
2455353,1
