cell_id,presence
2043721,1
2043722,1
2043723,1
2043724,1
2046560,1
2046561,1
2046562,1
2046563,1
2046564,1
2046565,1
2046566,1
2049399,1
2049400,1
2049401,1
2049402,1
2049403,1
2049404,1
2049405,1
2052238,1
2052239,1
2052240,1
2052241,1
2052242,1
2052243,1
2052244,1
2052245,1
2055077,1
2055078,1
2055079,1
2055080,1
2055081,1
2055082,1
2055083,1
2055084,1
2057916,1
2057917,1
2057918,1
2057919,1
2057920,1
2057921,1
2057922,1
2057923,1
2060755,1
2060756,1
2060757,1
2060758,1
2060759,1
2060760,1
2060761,1
2060762,1
2063594,1
2063595,1
2063596,1
2063597,1
2063598,1
2063599,1
2063600,1
2063601,1
2066433,1
2066434,1
2066435,1
2066436,1
2066437,1
2066438,1
2066439,1
2066440,1
2069272,1
2069273,1
2069274,1
2069275,1
2069276,1
2069277,1
2069278,1
2069279,1
2072111,1
2072112,1
2072113,1
2072114,1
2072115,1
2072116,1
2072117,1
2072118,1
2074950,1
2074951,1
2074952,1
2074953,1
2074954,1
2074955,1
2074956,1
2074957,1
2077789,1
2077790,1
2077791,1
2077792,1
2077793,1
2077794,1
2077795,1
2077796,1
2080628,1
2080629,1
2080630,1
2080631,1
2080632,1
2080633,1
2080634,1
2080635,1
2083466,1
2083467,1
2083468,1
2083469,1
2083470,1
2083471,1
2083472,1
2083473,1
2083474,1
2086305,1
2086306,1
2086307,1
2086308,1
2086309,1
2086310,1
2086311,1
2086312,1
2086313,1
2089144,1
2089145,1
2089146,1
2089147,1
2089148,1
2089149,1
2089150,1
2089151,1
2089152,1
2091983,1
2091984,1
2091985,1
2091986,1
2091987,1
2091988,1
2091989,1
2091990,1
2091991,1
2094822,1
2094823,1
2094824,1
2094825,1
2094826,1
2094827,1
2094828,1
2094829,1
2094830,1
2097661,1
2097662,1
2097663,1
2097664,1
2097665,1
2097666,1
2097667,1
2097668,1
2097669,1
2100500,1
2100501,1
2100502,1
2100503,1
2100504,1
2100505,1
2100506,1
2100507,1
2100508,1
2103338,1
2103339,1
2103340,1
2103341,1
2103342,1
2103343,1
2103344,1
2103345,1
2103346,1
2106177,1
2106178,1
2106179,1
2106180,1
2106181,1
2106182,1
2106183,1
2106184,1
2106185,1
2109016,1
2109017,1
2109018,1
2109019,1
2109020,1
2109021,1
2109022,1
2109023,1
2109024,1
2111855,1
2111856,1
2111857,1
2111858,1
2111859,1
2111860,1
2111861,1
2111862,1
2111863,1
2114694,1
2114695,1
2114696,1
2114697,1
2114698,1
2114699,1
2114700,1
2114701,1
2114702,1
2117533,1
2117534,1
2117535,1
2117536,1
2117537,1
2117538,1
2117539,1
2117540,1
2117541,1
2120372,1
2120373,1
2120374,1
2120375,1
2120376,1
2120377,1
2120378,1
2120379,1
2120380,1
2123211,1
2123212,1
2123213,1
2123214,1
2123215,1
2123216,1
2123217,1
2123218,1
2123219,1
2126050,1
2126051,1
2126052,1
2126053,1
2126054,1
2126055,1
2126056,1
2126057,1
2126058,1
2128889,1
2128890,1
2128891,1
2128892,1
2128893,1
2128894,1
2128895,1
2128896,1
2128897,1
2131728,1
2131729,1
2131730,1
2131731,1
2131732,1
2131733,1
2131734,1
2131735,1
2131736,1
2134567,1
2134568,1
2134569,1
2134570,1
2134571,1
2134572,1
2134573,1
2134574,1
2134575,1
2137406,1
2137407,1
2137408,1
2137409,1
2137410,1
2137411,1
2137412,1
2137413,1
2140245,1
2140246,1
2140247,1
2140248,1
2140249,1
2140250,1
2140251,1
2140252,1
2143085,1
2143086,1
2143087,1
2143088,1
2143089,1
2143090,1
2143091,1
2145924,1
2145925,1
2145926,1
2145927,1
2145928,1
2145929,1
2148764,1
2148765,1
2148766,1
2148767,1
2148768,1
2151603,1
2151604,1
2151605,1
2151606,1
2154443,1
2154444,1
