cell_id,presence
2168644,1
2168645,1
2171481,1
2171482,1
2171483,1
2171484,1
2171485,1
2171486,1
2171487,1
2174319,1
2174320,1
2174321,1
2174322,1
2174323,1
2174324,1
2174325,1
2174326,1
2174327,1
2177157,1
2177158,1
2177159,1
2177160,1
2177161,1
2177162,1
2177163,1
2177164,1
2177165,1
2177166,1
2179995,1
2179996,1
2179997,1
2179998,1
2179999,1
2180000,1
2180001,1
2180002,1
2180003,1
2180004,1
2180005,1
2182833,1
2182834,1
2182835,1
2182836,1
2182837,1
2182838,1
2182839,1
2182840,1
2182841,1
2182842,1
2182843,1
2182844,1
2185672,1
2185673,1
2185674,1
2185675,1
2185676,1
2185677,1
2185678,1
2185679,1
2185680,1
2185681,1
2185682,1
2185683,1
2188510,1
2188511,1
2188512,1
2188513,1
2188514,1
2188515,1
2188516,1
2188517,1
2188518,1
2188519,1
2188520,1
2188521,1
2188522,1
2191349,1
2191350,1
2191351,1
2191352,1
2191353,1
2191354,1
2191355,1
2191356,1
2191357,1
2191358,1
2191359,1
2191360,1
2191361,1
2194188,1
2194189,1
2194190,1
2194191,1
2194192,1
2194193,1
2194194,1
2194195,1
2194196,1
2194197,1
2194198,1
2194199,1
2194200,1
2197027,1
2197028,1
2197029,1
2197030,1
2197031,1
2197032,1
2197033,1
2197034,1
2197035,1
2197036,1
2197037,1
2197038,1
2197039,1
2199865,1
2199866,1
2199867,1
2199868,1
2199869,1
2199870,1
2199871,1
2199872,1
2199873,1
2199874,1
2199875,1
2199876,1
2199877,1
2199878,1
2202704,1
2202705,1
2202706,1
2202707,1
2202708,1
2202709,1
2202710,1
2202711,1
2202712,1
2202713,1
2202714,1
2202715,1
2202716,1
2202717,1
2205543,1
2205544,1
2205545,1
2205546,1
2205547,1
2205548,1
2205549,1
2205550,1
2205551,1
2205552,1
2205553,1
2208382,1
2208383,1
2208384,1
2208385,1
2208386,1
2208387,1
2208388,1
2208389,1
2208390,1
2208391,1
2211221,1
2211222,1
2211223,1
2211224,1
2211225,1
2211226,1
2211227,1
2211228,1
2211229,1
2214060,1
2214061,1
2214062,1
2214063,1
2214064,1
2214065,1
2214066,1
2214067,1
2216899,1
2216900,1
2216902,1
2216903,1
2216904,1
2216905,1
2216906,1
2219738,1
2219739,1
2219741,1
2219742,1
2219743,1
2219744,1
2222576,1
2222577,1
2222578,1
2222580,1
2222581,1
2222582,1
2222583,1
2225415,1
2225416,1
2225417,1
2225419,1
2225420,1
2225421,1
2228254,1
2228255,1
2228256,1
2228257,1
2228258,1
2228259,1
2228260,1
