iucn_sid,eez_km2,nms_km2,terr_km2,sciname,kingdom,phylum,class,order,family,genus,comname,category,criteria,population_trend,depth_upper,depth_lower,depth_class,hab,habitat
3855,616200,476200,24200,Carcharodon carcharias,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Carcharodon,White Shark,VU,A2cd+3cd,Unknown,0,250,200 m +,9.10,Marine Neritic - Estuaries
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,12.2,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc"
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.1,Marine Neritic - Pelagic
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.1,Marine Neritic - Estuaries
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.10,Marine Neritic - Estuaries
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.3,Marine Neritic - Subtidal Loose Rock/pebble/gravel
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.4,Marine Neritic - Subtidal Sandy
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.5,Marine Neritic - Subtidal Sandy-Mud
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.6,Marine Neritic - Subtidal Muddy
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.8,NA
3897,616500,476200,24500,Caretta caretta,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Caretta,Loggerhead Turtle,VU,A2b,Decreasing,NA,NA,200 m +,9.9,Marine Neritic - Seagrass (Submerged)
4615,616200,476200,24200,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,Green Turtle,EN,A2bd,Decreasing,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
4615,616200,476200,24200,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,Green Turtle,EN,A2bd,Decreasing,NA,NA,200 m +,12.2,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc"
4615,616200,476200,24200,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,Green Turtle,EN,A2bd,Decreasing,NA,NA,200 m +,9.7,Marine Neritic - Macroalgal/Kelp
4615,616200,476200,24200,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,Green Turtle,EN,A2bd,Decreasing,NA,NA,200 m +,9.9,Marine Neritic - Seagrass (Submerged)
6909,4000,0,3800,Dugong dugon,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong,VU,A2bcd+4bcd,Decreasing,NA,NA,< 200 m,12.2,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc"
6909,4000,0,3800,Dugong dugon,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong,VU,A2bcd+4bcd,Decreasing,NA,NA,< 200 m,12.7,Marine Intertidal - Mangrove Submerged Roots
6909,4000,0,3800,Dugong dugon,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong,VU,A2bcd+4bcd,Decreasing,NA,NA,< 200 m,9.10,Marine Neritic - Estuaries
6909,4000,0,3800,Dugong dugon,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong,VU,A2bcd+4bcd,Decreasing,NA,NA,< 200 m,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs
6909,4000,0,3800,Dugong dugon,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong,VU,A2bcd+4bcd,Decreasing,NA,NA,< 200 m,9.4,Marine Neritic - Subtidal Sandy
6909,4000,0,3800,Dugong dugon,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong,VU,A2bcd+4bcd,Decreasing,NA,NA,< 200 m,9.5,Marine Neritic - Subtidal Sandy-Mud
6909,4000,0,3800,Dugong dugon,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong,VU,A2bcd+4bcd,Decreasing,NA,NA,< 200 m,9.6,Marine Neritic - Subtidal Muddy
6909,4000,0,3800,Dugong dugon,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong,VU,A2bcd+4bcd,Decreasing,NA,NA,< 200 m,9.8,NA
6909,4000,0,3800,Dugong dugon,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong,VU,A2bcd+4bcd,Decreasing,NA,NA,< 200 m,9.9,Marine Neritic - Seagrass (Submerged)
7135,4100,0,3900,Eleotris melanosoma,Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,Eleotris,Broadhead Sleeper,LC,NA,Unknown,NA,NA,< 200 m,9.10,Marine Neritic - Estuaries
7135,4100,0,3900,Eleotris melanosoma,Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,Eleotris,Broadhead Sleeper,LC,NA,Unknown,NA,NA,< 200 m,9.6,Marine Neritic - Subtidal Muddy
7858,136700,91900,24100,Epinephelus lanceolatus,Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,Epinephelus,Giant Grouper,DD,NA,Decreasing,1,100,< 200 m,15.11,Artificial/Marine - Marine Anthropogenic Structures
7858,136700,91900,24100,Epinephelus lanceolatus,Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,Epinephelus,Giant Grouper,DD,NA,Decreasing,1,100,< 200 m,9.10,Marine Neritic - Estuaries
7858,136700,91900,24100,Epinephelus lanceolatus,Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,Epinephelus,Giant Grouper,DD,NA,Decreasing,1,100,< 200 m,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs
7858,136700,91900,24100,Epinephelus lanceolatus,Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,Epinephelus,Giant Grouper,DD,NA,Decreasing,1,100,< 200 m,9.8,NA
8005,616200,476200,24200,Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Hawksbill Turtle,CR,A2bd,Decreasing,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
8005,616200,476200,24200,Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Hawksbill Turtle,CR,A2bd,Decreasing,NA,NA,200 m +,12.2,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc"
8005,616200,476200,24200,Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Hawksbill Turtle,CR,A2bd,Decreasing,NA,NA,200 m +,12.4,Marine Intertidal - Mud Flats and Salt Flats
8005,616200,476200,24200,Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Hawksbill Turtle,CR,A2bd,Decreasing,NA,NA,200 m +,12.7,Marine Intertidal - Mangrove Submerged Roots
8005,616200,476200,24200,Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Hawksbill Turtle,CR,A2bd,Decreasing,NA,NA,200 m +,9.1,Marine Neritic - Pelagic
8005,616200,476200,24200,Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Hawksbill Turtle,CR,A2bd,Decreasing,NA,NA,200 m +,9.1,Marine Neritic - Estuaries
8005,616200,476200,24200,Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Hawksbill Turtle,CR,A2bd,Decreasing,NA,NA,200 m +,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs
8005,616200,476200,24200,Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Hawksbill Turtle,CR,A2bd,Decreasing,NA,NA,200 m +,9.6,Marine Neritic - Subtidal Muddy
8005,616200,476200,24200,Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Hawksbill Turtle,CR,A2bd,Decreasing,NA,NA,200 m +,9.7,Marine Neritic - Macroalgal/Kelp
8005,616200,476200,24200,Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Hawksbill Turtle,CR,A2bd,Decreasing,NA,NA,200 m +,9.8,NA
8005,616200,476200,24200,Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Hawksbill Turtle,CR,A2bd,Decreasing,NA,NA,200 m +,9.8.1,Outer Reef Channel
8005,616200,476200,24200,Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Hawksbill Turtle,CR,A2bd,Decreasing,NA,NA,200 m +,9.8.3,Foreslope (Outer Reef Slope)
8005,616200,476200,24200,Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Hawksbill Turtle,CR,A2bd,Decreasing,NA,NA,200 m +,9.9,Marine Neritic - Seagrass (Submerged)
8551,616200,476200,24200,Feresa attenuata,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Feresa,Pygmy Killer Whale,LC,NA,Unknown,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
8551,616200,476200,24200,Feresa attenuata,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Feresa,Pygmy Killer Whale,LC,NA,Unknown,NA,NA,200 m +,10.2,Marine Oceanic - Mesopelagic (200-1000m)
8551,616200,476200,24200,Feresa attenuata,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Feresa,Pygmy Killer Whale,LC,NA,Unknown,NA,NA,200 m +,10.3,Marine Oceanic - Bathypelagic (1000-4000m)
9249,616200,476200,24200,Globicephala macrorhynchus,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Globicephala,Short-finned Pilot Whale,LC,NA,Unknown,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
9249,616200,476200,24200,Globicephala macrorhynchus,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Globicephala,Short-finned Pilot Whale,LC,NA,Unknown,NA,NA,200 m +,10.2,Marine Oceanic - Mesopelagic (200-1000m)
9249,616200,476200,24200,Globicephala macrorhynchus,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Globicephala,Short-finned Pilot Whale,LC,NA,Unknown,NA,NA,200 m +,10.3,Marine Oceanic - Bathypelagic (1000-4000m)
9461,616200,476200,24200,Grampus griseus,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Grampus,Risso's Dolphin,LC,NA,Unknown,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
9461,616200,476200,24200,Grampus griseus,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Grampus,Risso's Dolphin,LC,NA,Unknown,NA,NA,200 m +,10.2,Marine Oceanic - Mesopelagic (200-1000m)
9461,616200,476200,24200,Grampus griseus,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Grampus,Risso's Dolphin,LC,NA,Unknown,NA,NA,200 m +,10.3,Marine Oceanic - Bathypelagic (1000-4000m)
11047,616200,476200,24200,Kogia breviceps,Animalia,Chordata,Mammalia,Cetartiodactyla,Physeteridae,Kogia,Pygmy Sperm Whale,DD,NA,Unknown,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
11047,616200,476200,24200,Kogia breviceps,Animalia,Chordata,Mammalia,Cetartiodactyla,Physeteridae,Kogia,Pygmy Sperm Whale,DD,NA,Unknown,NA,NA,200 m +,10.2,Marine Oceanic - Mesopelagic (200-1000m)
11047,616200,476200,24200,Kogia breviceps,Animalia,Chordata,Mammalia,Cetartiodactyla,Physeteridae,Kogia,Pygmy Sperm Whale,DD,NA,Unknown,NA,NA,200 m +,10.3,Marine Oceanic - Bathypelagic (1000-4000m)
11048,616200,476200,24200,Kogia sima,Animalia,Chordata,Mammalia,Cetartiodactyla,Physeteridae,Kogia,Dwarf Sperm Whale,DD,NA,Unknown,NA,NA,200 m +,10.1,Marine Oceanic - Epipelagic (0-200m)
