zone,cell_id
eez,2043720
eez,2043721
eez,2043722
eez,2043723
eez,2043724
eez,2046556
eez,2046557
eez,2046558
eez,2046559
eez,2046560
eez,2046561
eez,2046562
eez,2046563
eez,2046564
eez,2046565
eez,2046566
eez,2049393
eez,2049394
eez,2049395
eez,2049396
eez,2049397
eez,2049398
eez,2049399
eez,2049400
eez,2049401
eez,2049402
eez,2049403
eez,2049404
eez,2049405
eez,2052230
eez,2052231
eez,2052232
eez,2052233
eez,2052234
eez,2052235
eez,2052236
eez,2052237
eez,2052238
eez,2052239
eez,2052240
eez,2052241
eez,2052242
eez,2052243
eez,2052244
eez,2052245
eez,2055068
eez,2055069
eez,2055070
eez,2055071
eez,2055072
eez,2055073
eez,2055074
eez,2055075
eez,2055076
eez,2055077
eez,2055078
eez,2055079
eez,2055080
eez,2055081
eez,2055082
eez,2055083
eez,2055084
eez,2057906
eez,2057907
eez,2057908
eez,2057909
eez,2057910
eez,2057911
eez,2057912
eez,2057913
eez,2057914
eez,2057915
eez,2057916
eez,2057917
eez,2057918
eez,2057919
eez,2057920
eez,2057921
eez,2057922
eez,2057923
eez,2060744
eez,2060745
eez,2060746
eez,2060747
eez,2060748
eez,2060749
eez,2060750
eez,2060751
eez,2060752
eez,2060753
eez,2060754
eez,2060755
eez,2060756
eez,2060757
eez,2060758
eez,2060759
eez,2060760
eez,2060761
eez,2060762
eez,2063582
eez,2063583
eez,2063584
eez,2063585
eez,2063586
eez,2063587
eez,2063588
eez,2063589
eez,2063590
eez,2063591
eez,2063592
eez,2063593
eez,2063594
eez,2063595
eez,2063596
eez,2063597
eez,2063598
eez,2063599
eez,2063600
eez,2063601
eez,2066420
eez,2066421
eez,2066422
eez,2066423
eez,2066424
eez,2066425
eez,2066426
eez,2066427
eez,2066428
eez,2066429
eez,2066430
eez,2066431
eez,2066432
eez,2066433
eez,2066434
eez,2066435
eez,2066436
eez,2066437
eez,2066438
eez,2066439
eez,2066440
eez,2066441
eez,2069258
eez,2069259
eez,2069260
eez,2069261
eez,2069262
eez,2069263
eez,2069264
eez,2069265
eez,2069266
eez,2069267
eez,2069268
eez,2069269
eez,2069270
eez,2069271
eez,2069272
eez,2069273
eez,2069274
eez,2069275
eez,2069276
eez,2069277
eez,2069278
eez,2069279
eez,2069280
eez,2072097
eez,2072098
eez,2072099
eez,2072100
eez,2072101
eez,2072102
eez,2072103
eez,2072104
eez,2072105
eez,2072106
eez,2072107
eez,2072108
eez,2072109
eez,2072110
eez,2072111
eez,2072112
eez,2072113
eez,2072114
eez,2072115
eez,2072116
eez,2072117
eez,2072118
eez,2072119
eez,2074935
eez,2074936
eez,2074937
eez,2074938
eez,2074939
eez,2074940
eez,2074941
eez,2074942
eez,2074943
eez,2074944
eez,2074945
eez,2074946
eez,2074947
eez,2074948
eez,2074949
eez,2074950
eez,2074951
eez,2074952
eez,2074953
eez,2074954
eez,2074955
eez,2074956
eez,2074957
eez,2074958
eez,2077773
eez,2077774
eez,2077775
eez,2077776
eez,2077777
eez,2077778
eez,2077779
eez,2077780
eez,2077781
eez,2077782
eez,2077783
eez,2077784
eez,2077785
eez,2077786
eez,2077787
eez,2077788
eez,2077789
eez,2077790
eez,2077791
eez,2077792
eez,2077793
eez,2077794
eez,2077795
eez,2077796
eez,2077797
eez,2080612
eez,2080613
eez,2080614
eez,2080615
eez,2080616
eez,2080617
eez,2080618
eez,2080619
eez,2080620
eez,2080621
eez,2080622
eez,2080623
eez,2080624
eez,2080625
eez,2080626
eez,2080627
